CUSTOMER_SK,TOTAL_REVENUE,TOTAL_ITEMS,DISTINCT_ITEMS,TIMES_VISITED,MOST_RECENT_VISIT,AVG_SPENT_PER_VISIT
36838701,1591.82968,371,177,20,3/25/15,79.591484
21352512,1588.59993,474,236,17,3/21/15,93.44705471
36514976,1584.95964,431,165,42,3/25/15,37.73713429
23616881,1582.71985,396,203,29,3/22/15,54.57654655
21169845,1578.45978,454,236,40,3/25/15,39.4614945
20692745,1575.89979,447,183,28,3/24/15,56.28213536
25696970,1566.54992,502,246,16,3/22/15,97.90937
22165150,1565.16958,371,151,9,3/20/15,173.9077311
22153089,1560.61982,423,280,16,3/24/15,97.53873875
30181677,1555.30987,404,242,18,3/24/15,86.40610389
37453657,1553.58987,511,234,125,3/25/15,12.42871896
40041272,1552.41995,523,184,51,3/25/15,30.43960686
23743207,1550.86994,500,175,33,3/24/15,46.99605879
39011608,1550.62978,442,215,40,3/25/15,38.7657445
20864845,1544.50986,583,247,29,3/25/15,53.25896069
21319744,1543.85976,364,209,21,3/22/15,73.51713143
51302499,1543.36975,442,194,24,3/25/15,64.30707292
22186149,1542.28987,410,226,13,3/22/15,118.6376823
22300446,1541.21974,561,189,40,3/25/15,38.5304935
38994020,1539.24983,418,195,27,3/14/15,57.00925296
21081670,1536.4298,517,227,117,3/25/15,13.13187863
20864578,1535.02993,455,233,40,3/25/15,38.37574825
33220016,1531.30988,491,269,22,3/24/15,69.60499455
22253277,1529.31972,380,150,11,3/21/15,139.0290655
52619271,1527.04967,417,160,19,3/25/15,80.37103526
22259381,1526.73982,459,231,32,3/25/15,47.71061938
22221178,1526.64977,478,227,19,3/25/15,80.34998789
21154918,1524.05982,363,208,25,3/20/15,60.9623928
20751711,1521.60978,422,231,16,3/25/15,95.10061125
40105819,1519.68975,416,241,16,3/23/15,94.98060938
23729810,1518.97989,438,254,49,3/22/15,30.99958959
21154777,1518.39981,417,291,22,3/22/15,69.01817318
39552162,1515.8897,314,144,42,3/24/15,36.0926119
21623796,1515.38964,379,191,13,3/19/15,116.5684338
23792601,1514.15966,363,195,28,3/25/15,54.07713071
22983294,1510.48964,408,258,29,3/23/15,52.08584966
22000842,1508.48984,444,231,31,3/24/15,48.66096258
21153072,1508.07966,366,204,29,3/24/15,52.0027469
25802031,1507.27976,438,262,14,3/22/15,107.66284
36843876,1506.48984,447,253,41,3/21/15,36.74365463
21618861,1504.69982,387,242,53,3/25/15,28.39056264
27940669,1499.08991,453,251,21,3/7/15,71.38523381
31814648,1497.54983,449,247,19,3/20/15,78.81841211
41512611,1496.77977,389,256,12,3/24/15,124.7316475
22240843,1493.81955,486,154,12,3/25/15,124.4849625
22338853,1492.61984,389,211,32,3/25/15,46.64437
22983190,1492.14987,482,285,69,3/25/15,21.62536043
37616596,1491.69975,472,252,40,3/25/15,37.29249375
21583675,1490.8896,318,162,24,3/24/15,62.1204
20735370,1485.42974,409,224,17,3/22/15,87.37822
21629636,1484.59976,579,203,26,3/24/15,57.09999077
39355315,1482.93963,399,229,12,3/7/15,123.5783025
34397581,1481.21984,372,206,15,3/22/15,98.74798933
51944848,1480.49993,451,213,76,3/25/15,19.48026224
20716182,1480.12976,460,170,16,3/21/15,92.50811
42487407,1476.21995,400,184,22,3/21/15,67.10090682
21583190,1475.9698,501,197,23,3/25/15,64.1726
51831057,1475.68971,344,212,25,3/25/15,59.0275884
40174598,1472.09981,368,214,16,3/24/15,92.00623813
23694848,1472.0497,355,243,35,3/25/15,42.05856286
36329278,1469.18992,397,225,22,3/25/15,66.78136
22208019,1468.94974,361,130,6,3/13/15,244.8249567
21599184,1466.16981,373,173,27,3/25/15,54.30258556
22207971,1465.4998,512,218,37,3/21/15,39.6081027
22300436,1463.54984,511,195,47,3/24/15,31.1393583
20875490,1463.28975,404,142,17,3/21/15,86.07586765
22301160,1462.31979,395,82,38,3/25/15,38.48209974
23129837,1462.07962,397,188,37,3/25/15,39.51566541
38861391,1459.25988,403,221,42,3/24/15,34.74428286
23815170,1458.74981,452,197,27,3/23/15,54.02777074
22752150,1456.53978,388,257,25,3/25/15,58.2615912
22249819,1448.68981,433,153,52,3/25/15,27.85941942
40120720,1448.3098,392,259,19,3/22/15,76.22683158
22643982,1447.97995,485,313,19,3/24/15,76.20947105
39658142,1446.80989,388,158,21,3/21/15,68.89570905
