CUSTOMER_SK,TOTAL_REVENUE,TOTAL_ITEMS,DISTINCT_ITEMS,TIMES_VISITED,MOST_RECENT_VISIT,AVG_SPENT_PER_VISIT
22649456,1388.76976,342,195,29,3/23/15,47.88861241
22643982,1388.04999,496,320,19,3/24/15,73.05526263
23627706,1387.28969,355,194,17,3/20/15,81.60527588
23721722,1386.95961,326,176,9,3/2/15,154.1066233
21236702,1385.79954,337,157,40,3/25/15,34.6449885
21725621,1383.28977,400,174,37,3/25/15,37.38621
22210492,1378.34977,367,114,13,3/19/15,106.0269054
21280591,1377.75978,384,230,24,3/25/15,57.4066575
40174598,1376.14989,379,220,16,3/24/15,86.00936813
21451730,1374.56973,361,203,34,3/21/15,40.42852147
22295659,1372.25969,397,184,17,3/21/15,80.72115824
25752343,1371.19974,394,245,11,3/21/15,124.6545218
39915641,1370.86981,428,138,29,3/25/15,47.27137276
22307860,1370.51982,333,143,12,3/25/15,114.209985
20789159,1367.95982,373,233,37,3/25/15,36.97188703
22211081,1367.40993,528,285,38,3/25/15,35.98447184
20977448,1363.30987,398,226,64,3/25/15,21.30171672
51912558,1362.65976,343,216,37,3/24/15,36.82864216
41521952,1362.3398,343,226,31,3/23/15,43.94644516
52627049,1360.62979,382,250,50,3/25/15,27.2125958
22588576,1359.84965,334,175,14,3/22/15,97.13211786
37613697,1358.7699,411,211,18,3/20/15,75.48721667
25814690,1358.20986,418,242,13,3/21/15,104.4776815
22153114,1357.30989,720,225,23,3/21/15,59.01347348
21629738,1355.32969,449,190,11,3/25/15,123.21179
20663484,1352.34977,413,225,27,2/27/15,50.08702852
23795721,1351.32979,379,160,38,3/25/15,35.56131026
22256762,1351.25971,436,207,29,3/24/15,46.59516241
37350025,1350.62982,418,203,48,3/23/15,28.13812125
22203524,1347.1597,347,204,5,3/19/15,269.43194
22844531,1346.87978,344,150,40,3/21/15,33.6719945
25799494,1346.55985,434,235,17,3/21/15,79.20940294
22249610,1344.38986,396,213,51,3/24/15,26.36058549
21626285,1343.00991,393,135,56,3/25/15,23.98231982
20850069,1342.46992,418,203,22,3/24/15,61.02136
21163694,1341.87978,372,223,8,3/24/15,167.7349725
23637223,1341.47989,392,184,13,3/20/15,103.1907608
21567511,1341.24992,452,249,31,3/21/15,43.26612645
21580068,1339.26981,338,213,12,3/20/15,111.6058175
39737580,1338.77986,472,245,88,3/24/15,15.2134075
39659252,1337.43989,370,204,13,3/19/15,102.8799915
24375502,1337.05972,292,161,8,3/25/15,167.132465
22153167,1335.06991,404,220,10,3/13/15,133.506991
21430705,1334.27984,340,217,24,3/16/15,55.59499333
23727830,1333.90982,525,285,92,3/24/15,14.49901978
26324546,1332.53987,365,256,12,3/24/15,111.0449892
40039076,1331.94982,374,233,14,3/21/15,95.13927286
22240867,1331.09984,434,159,11,3/25/15,121.0090764
22249626,1330.01982,346,126,11,3/21/15,120.9108927
27904864,1327.52984,383,164,34,3/24/15,39.04499529
21627385,1326.06986,357,169,17,3/17/15,78.00410941
25775189,1324.88978,417,202,66,3/24/15,20.07408758
21471945,1324.59996,467,284,20,3/14/15,66.229998
21592592,1323.78991,417,225,14,3/21/15,94.55642214
20749186,1323.68994,433,205,31,3/23/15,42.69967548
21621018,1323.56959,354,149,12,3/21/15,110.2974658
52537705,1322.85989,350,172,14,3/21/15,94.48999214
21618865,1321.15966,364,181,21,3/24/15,62.91236476
20890997,1320.76977,323,188,8,3/24/15,165.0962213
22534841,1316.93973,296,136,11,3/20/15,119.7217936
42486969,1316.74988,411,233,49,3/24/15,26.87244653
20797838,1315.40981,418,224,24,3/25/15,54.80874208
39812492,1313.23981,367,189,35,3/24/15,37.52113743
37511968,1312.13984,423,161,19,3/24/15,69.05999158
37635979,1309.88975,332,189,8,3/21/15,163.7362188
34481587,1308.66978,404,206,34,3/25/15,38.49028765
23678547,1307.19979,345,165,60,3/25/15,21.78666317
23023981,1307.13978,391,125,39,3/25/15,33.51640462
23241052,1303.42986,411,221,17,3/21/15,76.67234471
20901927,1299.94996,406,249,31,3/25/15,41.93386968
40234064,1299.69971,350,132,13,3/21/15,99.97690077
22210550,1298.67982,401,253,24,3/24/15,54.11165917
36513941,1294.6298,359,208,34,3/24/15,38.07734706
21152473,1293.04989,330,171,13,3/21/15,99.46537615
20747314,1290.01981,332,201,20,3/21/15,64.5009905
23793727,1289.78975,344,226,13,3/21/15,99.21459615
26317477,1289.51992,369,211,23,3/19/15,56.06608348
40099467,1286.47994,344,178,30,3/24/15,42.88266467
20829920,1283.37985,385,173,8,2/28/15,160.4224813
39748859,1282.60998,392,265,36,3/20/15,35.628055
22495434,1279.91973,323,178,9,3/22/15,142.2133033
21152405,1278.6499,404,196,8,3/21/15,159.8312375
37158663,1276.95977,291,134,37,3/24/15,34.51242622
22207985,1271.15971,368,237,62,3/24/15,20.50257597
22383974,1270.60975,425,193,12,3/24/15,105.8841458
22847700,1269.90966,301,172,22,3/23/15,57.72316636
37633296,1269.90965,325,138,30,3/25/15,42.33032167
22352133,1267.39979,329,164,7,2/9/15,181.0571129
26326819,1266.24971,349,167,27,3/23/15,46.89813741
39921507,1265.49982,331,212,9,3/22/15,140.6110911
22208037,1264.01998,544,274,84,3/23/15,15.0478569
46385731,1263.34991,377,237,14,3/21/15,90.23927929
22300449,1260.63985,468,117,34,3/25/15,37.07764265
22352660,1259.13001,777,230,33,3/23/15,38.15545485
22752159,1257.72975,420,162,38,3/23/15,33.09815132
21988304,1257.63976,326,128,20,3/24/15,62.881988
31706983,1257.53988,390,191,17,3/21/15,73.97293412
36331311,1257.37987,429,218,22,3/24/15,57.15363045
21283219,1255.74972,362,188,36,3/25/15,34.88193667
22561105,1251.40984,361,207,32,3/25/15,39.1065575
21344365,1251.18974,327,185,15,3/24/15,83.41264933
22339185,1249.87981,325,177,10,3/16/15,124.987981
34940637,1246.4199,386,231,30,3/25/15,41.54733
51617079,1246.22996,398,217,11,3/22/15,113.2936327
37458413,1245.68997,418,148,32,3/23/15,38.92781156
39424004,1244.94974,340,189,11,3/23/15,113.1772491
41518109,1243.73984,456,229,10,3/21/15,124.373984
22331540,1243.67957,355,142,6,3/4/15,207.2799283
21294282,1242.46982,305,191,18,3/21/15,69.02610111
21431899,1236.5397,276,169,14,3/22/15,88.32426429
25757117,1236.52983,311,156,33,3/23/15,37.47060091
23819433,1235.49989,377,203,14,3/24/15,88.24999214
37466639,1235.14997,378,245,12,3/17/15,102.9291642
21155070,1234.57989,287,131,10,3/24/15,123.457989
22153088,1234.04996,364,180,11,3/21/15,112.18636
20751902,1233.58982,288,131,11,3/22/15,112.1445291
22211050,1233.35983,334,187,19,3/25/15,64.91367526
22153279,1232.40982,366,242,19,3/25/15,64.86367474
22828379,1232.35995,355,246,6,3/8/15,205.393325
23795716,1227.92976,440,165,51,3/22/15,24.07705412
34317426,1227.14952,354,145,19,3/23/15,64.58681684
51283766,1226.99983,316,165,23,3/23/15,53.3478187
25259101,1226.3299,372,157,21,3/6/15,58.3966619
22240851,1226.20979,318,117,23,3/22/15,53.31346913
22220229,1226.04988,437,252,21,3/24/15,58.38332762
23604284,1225.8299,300,155,17,3/25/15,72.10764118
22563319,1225.41982,353,181,7,3/25/15,175.0599743
22249592,1225.18989,379,226,38,3/24/15,32.24183921
52857684,1224.79978,294,206,21,3/22/15,58.32379905
22515423,1224.75981,354,180,18,3/22/15,68.04221167
22165041,1224.70993,507,299,26,3/24/15,47.10422808
20813610,1223.87987,396,208,16,3/20/15,76.49249188
23604987,1222.85993,348,190,29,3/24/15,42.16758379
21153860,1222.06982,366,166,12,3/20/15,101.8391517
26262549,1221.83991,343,174,28,3/24/15,43.63713964
21166408,1221.1598,334,179,20,3/24/15,61.05799
21056671,1220.17977,367,166,16,3/25/15,76.26123563
21151251,1219.56997,402,256,18,3/25/15,67.75388722
39814269,1219.24992,366,194,12,3/23/15,101.60416
40241111,1218.67991,338,219,23,3/22/15,52.98608304
21621965,1218.6198,330,168,26,3/22/15,46.86999231
37613699,1216.99992,352,220,38,3/24/15,32.02631368
53102867,1214.06995,382,233,40,3/24/15,30.35174875
23748552,1213.52981,334,186,14,3/12/15,86.68070071
23835963,1213.34996,488,77,78,3/25/15,15.55576872
21157309,1212.20987,369,166,26,3/20/15,46.62345654
36172189,1208.36987,351,239,25,3/19/15,48.3347948
23625944,1207.77982,414,282,32,3/25/15,37.74311938
21159896,1202.22992,352,185,34,3/25/15,35.35970353
21330132,1201.72995,577,123,50,3/25/15,24.034599
22153123,1200.81994,336,205,24,3/25/15,50.03416417
42469396,1197.99987,414,249,32,3/23/15,37.43749594
20876593,1195.83984,344,191,10,3/21/15,119.583984
22208009,1195.62989,372,187,12,3/12/15,99.63582417
23630341,1195.43978,285,179,24,3/22/15,49.80999083
20720450,1195.40977,314,196,41,3/24/15,29.15633585
21451913,1195.32978,356,169,27,3/21/15,44.27147333
22588901,1195.01989,391,236,34,3/25/15,35.14764382
37707412,1194.7398,368,191,16,3/20/15,74.6712375
21573438,1194.67978,334,207,15,3/14/15,79.64531867
28857852,1194.67969,336,97,17,3/22/15,70.27527588
22338510,1193.1695,274,140,19,3/24/15,62.79839474
22211113,1192.3299,321,168,20,3/24/15,59.616495
21293065,1192.04973,321,106,17,3/25/15,70.12057235
51519267,1187.7096,360,169,17,3/12/15,69.86527059
36873736,1187.60969,327,82,14,3/22/15,84.82926357
21467825,1186.92988,326,193,20,3/24/15,59.346494
40146485,1186.85991,354,168,51,3/25/15,23.27176294
22221152,1184.7899,340,208,25,3/25/15,47.391596
21700640,1180.43985,361,275,22,3/19/15,53.65635682
22206028,1177.5096,320,143,41,3/25/15,28.71974634
26037715,1177.26986,316,97,14,3/20/15,84.09070429
51910934,1174.81987,305,159,15,3/20/15,78.32132467
22211067,1173.07992,406,205,16,3/24/15,73.317495
24187651,1172.93981,348,220,45,3/24/15,26.06532911
22220239,1172.68996,324,138,21,3/24/15,55.84237905
22003304,1172.62993,357,206,10,3/14/15,117.262993
21431559,1172.51983,308,238,6,3/25/15,195.4199717
21573369,1171.92978,270,129,25,3/24/15,46.8771912
39560131,1170.90983,286,141,8,3/20/15,146.3637288
22963107,1170.76978,348,141,25,3/24/15,46.8307912
